ventana,cve_mun,municipio,estado,poblacion,tasa_homicidio_ini,tasa_homicidio_fin,delta_homicidio_pct,tasa_control_ini,tasa_control_fin,delta_control_pct,carpetas_homicidio_fin,carpetas_control_fin,cuadrante,score
2023-2025,26030,"Hermosillo","Sonora",1028894,9.92,24.69,148.9,195.54,246.67,26.1,254,2538,Q3,-122.8
2023-2025,26042,"Navojoa","Sonora",170577,7.69,7.03,-8.5,13.01,29.9,129.8,12,51,Q2,138.3
2023-2025,26043,"Nogales","Sonora",291698,21.19,21.6,1.9,19.78,71.99,264,63,210,Q3,262.1
2023-2025,26048,"Puerto Peñasco","Sonora",65454,18.53,4.58,-75.3,47.88,148.2,209.5,3,97,Q2,284.8
2023-2025,26055,"San Luis Río Colorado","Sonora",213148,90.51,86.32,-4.6,86.2,194.23,125.3,184,414,Q2,130
2023-2025,27002,"Cárdenas","Tabasco",245295,8.56,30.17,252.6,4.48,13.05,191.1,74,32,Q3,-61.5
2023-2025,27004,"Centro","Tabasco",698755,6.75,39.64,487.4,6.61,129.09,1854.3,277,902,Q3,1366.9
2023-2025,27005,"Comalcalco","Tabasco",225137,15.73,37.75,140,3.6,31.09,764.8,85,70,Q3,624.8
2023-2025,27006,"Cunduacán","Tabasco",139220,7.19,40.94,469.8,4.31,16.52,283.2,57,23,Q3,-186.6
2023-2025,27008,"Huimanguillo","Tabasco",197788,23.96,26.8,11.8,2.55,15.17,494.9,53,30,Q3,483.1
2023-2025,27012,"Macuspana","Tabasco",159878,10,15.64,56.4,9.37,14.39,53.5,25,23,Q3,-2.9
2023-2025,27013,"Nacajuca","Tabasco",162318,6.94,26.49,281.8,5.68,6.16,8.5,43,10,Q3,-273.3
2023-2025,27014,"Paraíso","Tabasco",100087,11.07,28.97,161.6,9.06,35.97,297,29,36,Q3,135.3
2023-2025,27017,"Tenosique","Tabasco",66620,16.85,27.02,60.4,9.19,9.01,-2,18,6,Q4,-62.4
2023-2025,28003,"Altamira","Tamaulipas",293020,3.14,3.41,8.6,5.94,5.12,-13.8,10,15,Q4,-22.4
2023-2025,28021,"El Mante","Tamaulipas",112505,9.97,0.89,-91.1,28.09,37.33,32.9,1,42,Q2,124
2023-2025,28022,"Matamoros","Tamaulipas",582214,6.49,5.5,-15.3,5.26,17.35,229.8,32,101,Q2,245.1
2023-2025,28027,"Nuevo Laredo","Tamaulipas",459021,4.9,1.74,-64.4,3.34,7.19,115.1,8,33,Q2,179.5
2023-2025,28032,"Reynosa","Tamaulipas",778947,15.36,9.89,-35.7,9.14,18.61,103.7,77,145,Q2,139.3
2023-2025,28033,"Río Bravo","Tamaulipas",143811,16.39,5.56,-66.1,5.7,56.32,887.8,8,81,Q2,953.9
2023-2025,28041,"Victoria","Tamaulipas",366665,13.24,8.18,-38.2,23.45,26.45,12.8,30,97,Q2,51
2023-2025,29005,"Apizaco","Tlaxcala",83966,9.63,4.76,-50.5,24.07,22.63,-6,4,19,Q1,44.5
2023-2025,29033,"Tlaxcala","Tlaxcala",106410,8.63,2.82,-67.3,12.46,17.86,43.3,3,19,Q2,110.6
2023-2025,30003,"Acayucan","Veracruz",79085,23.76,18.97,-20.2,53.76,56.9,5.8,15,45,Q2,26
2023-2025,30010,"Altotonga","Veracruz",64375,17.04,7.77,-54.4,77.43,38.83,-49.8,5,25,Q1,4.6
2023-2025,30028,"Boca del Río","Veracruz",148107,4.07,4.73,16.1,44.1,22.96,-47.9,7,34,Q4,-64
2023-2025,30039,"Coatzacoalcos","Veracruz",310767,14.43,14.8,2.6,68.61,93.96,36.9,46,292,Q3,34.4
2023-2025,30044,"Córdoba","Veracruz",207490,16.43,13.01,-20.8,129.48,69.4,-46.4,27,144,Q1,-25.6
2023-2025,30045,"Cosamaloapan de Carpio","Veracruz",52647,14.91,9.5,-36.3,26.09,45.59,74.7,5,24,Q2,111
2023-2025,30048,"Cosoleacaque","Veracruz",133308,7.52,7.5,-0.3,36.1,33.76,-6.5,10,45,Q1,-6.2
2023-2025,30061,"Las Choapas","Veracruz",80818,14.77,8.66,-41.3,51.69,105.17,103.5,7,85,Q2,144.8
2023-2025,30065,"Emiliano Zapata","Veracruz",94324,6.57,14.84,125.8,51.49,45.59,-11.5,14,43,Q4,-137.3
2023-2025,30068,"Fortín","Veracruz",68330,14.74,7.32,-50.4,48.64,27.81,-42.8,5,19,Q1,7.5
2023-2025,30087,"Xalapa","Veracruz",500266,5.42,4.2,-22.6,80.53,75.76,-5.9,21,379,Q1,16.7
2023-2025,30102,"Martínez de la Torre","Veracruz",108995,23.77,39.45,65.9,82.29,72.48,-11.9,43,79,Q4,-77.9
2023-2025,30105,"Medellín de Bravo","Veracruz",104092,5.92,11.53,94.9,24.65,17.29,-29.9,12,18,Q4,-124.7
2023-2025,30108,"Minatitlán","Veracruz",137182,12.1,13.12,8.4,32.74,54.67,67,18,75,Q3,58.5
2023-2025,30118,"Orizaba","Veracruz",120904,6.54,5.79,-11.5,44.98,52.11,15.8,7,63,Q2,27.4
2023-2025,30124,"Papantla","Veracruz",159782,13.08,15.65,19.6,58.56,46.31,-20.9,25,74,Q4,-40.5
2023-2025,30128,"Perote","Veracruz",79819,10.09,8.77,-13.1,16.39,121.52,641.4,7,97,Q2,654.5
2023-2025,30131,"Poza Rica de Hidalgo","Veracruz",189227,22.12,8.98,-59.4,101.13,44.92,-55.6,17,85,Q1,3.8
2023-2025,30155,"Tantoyuca","Veracruz",98639,5.02,9.12,81.6,29.14,36.5,25.3,9,36,Q3,-56.4
2023-2025,30160,"Álamo Temapache","Veracruz",110831,11.82,19.85,67.9,43.66,49.63,13.7,22,55,Q3,-54.2
2023-2025,30175,"Tihuatlán","Veracruz",91764,16.22,2.18,-86.6,157.9,38.14,-75.8,2,35,Q1,10.7
2023-2025,30183,"Tlapacoyan","Veracruz",61482,24.31,30.9,27.1,79.42,42.29,-46.8,19,26,Q4,-73.9
2023-2025,30189,"Tuxpan","Veracruz",148280,11.24,26.3,134.1,39,76.21,95.4,39,113,Q3,-38.7
2023-2025,30193,"Veracruz","Veracruz",625920,7.73,3.04,-60.7,45.89,36.91,-19.6,19,231,Q1,41.1
2023-2025,31050,"Mérida","Yucatán",1087930,1.13,1.29,13.5,31.85,18.29,-42.6,14,199,Q4,-56
2023-2025,32010,"Fresnillo","Zacatecas",258315,65.42,8.13,-87.6,23.39,37.16,58.9,21,96,Q2,146.5
2023-2025,32017,"Guadalupe","Zacatecas",239769,70.13,4.17,-94.1,55.32,65.06,17.6,10,156,Q2,111.7
2023-2025,32020,"Jerez","Zacatecas",62060,79.75,0,-100,19.53,6.45,-67,0,4,Q1,33
2023-2025,32038,"Pinos","Zacatecas",73566,17.74,13.59,-23.4,15.01,17.67,17.7,10,13,Q2,41.1
2023-2025,32056,"Zacatecas","Zacatecas",156095,51.26,3.84,-92.5,57.75,108.27,87.5,6,169,Q2,180
